,,,Masculino,,,,,,,,,,,,,,,,Feminino,,,,,,,,,,,,,,,,,Aluno,,,,,,,,Servidor,,,,,,,,Aluno,,,,,,,,Servidor,,,,,,Unidade,,,Grad.,,Pós-Grad.,,Total,,Pós-Doc,,Doc,,Não-Doc,,Pesq,,Total,,Grad.,,Pós-Grad.,,Total,,Pós-Doc,,Doc,,Não-Doc,,Pesq,,Total
Interunidades em Ciência Ambiental                ,,-,,-,,-,,-,,-,,-,,-,,-,,-,,1,,1,,-,,-,,-,,-,,1,
Interunidades em Ecologia Aplicada                ,,-,,52,,52,,-,,-,,-,,-,,52,,-,,83,,83,,-,,-,,-,,-,,83,
Interunidades em Energia                          ,,-,,3,,3,,-,,-,,-,,-,,3,,-,,-,,-,,-,,-,,-,,-,,-,
Interunidades em Enfermagem                       ,,-,,17,,17,,-,,-,,-,,-,,17,,-,,88,,88,,-,,-,,-,,-,,88,
Interunidades em Ensino de Ciências               ,,-,,89,,89,,-,,-,,-,,-,,89,,-,,115,,115,,-,,-,,-,,-,,115,
Interunidades em Estética e História da Arte      ,,-,,60,,60,,-,,-,,-,,-,,60,,-,,123,,123,,-,,-,,-,,-,,123,
Interunidades em Integração da América Latina     ,,-,,31,,31,,-,,-,,-,,-,,31,,-,,39,,39,,-,,-,,-,,-,,39,
Interunidades em Museologia                       ,,-,,16,,16,,-,,-,,-,,-,,16,,-,,59,,59,,-,,-,,-,,-,,59,
Interunidades em Nutrição Humana Aplicada         ,,-,,5,,5,,-,,-,,-,,-,,5,,-,,32,,32,,-,,-,,-,,-,,32,
Pró-G                                             ,,209,,-,,209,,-,,-,,-,,-,,209,,237,,-,,237,,-,,-,,-,,-,,237,
